50	0.089118	0.06979	0.134348	0.825112
550	0.266136	0.525912	0.589549	0.593363
1050	0.41137	1.501518	0.285791	0.225836
1550	0.577323	1.80936	0.890725	0.545382
2050	0.776044	2.835804	0.651185	0.225719
2550	1.00955	3.827183	0.956426	0.873532
3050	1.23198	5.728314	1.668152	0.77841
3550	1.43147	9.759711	1.693643	0.22481
4050	1.73223	13.326784	2.110999	0.303558
4550	1.97192	17.106502	2.627812	0.230426
5050	2.28978	21.205326	3.534299	0.679392
5550	2.58918	27.423948	4.434003	0.33236
6050	2.86425	34.845292	6.752098	0.27844
6550	3.11866	40.272046	9.152878	0.682562
7050	3.3932	45.20561	11.539179	0.523313
7550	3.63022	53.576893	14.33706	0.797868
8050	3.90051	65.422418	17.953229	0.26935
8550	4.15662	71.707852	24.574888	0.262972
9050	4.42563	99.82	21.67	0.29
9550	4.68846	109.96	25.39	0.32
10050	4.96174	125.72	29.76	0.62
10550	5.29198	150.05	33.98	0.34
11050	5.57403	168.43	36.72	0.76
11550	5.85522	194.77	42.27	0.67
12050	6.16668	211.44	47.75	0.29
12550	6.41851	237.32	56.29	0.29
13050	6.74235	273.41	59.7	0.58
13550	7.02598	287.97	66.55	0.31
14050	7.36187	331.25	76.58	0.31
14550	7.6365	359	78.28	0.35
15050	7.90345	385.63	87.36	0.35
15550	8.20223	425.81	88.28	0.32
16050	8.52404	460.88	93.44	0.32
16550	8.82811	513	100.7	0.32
17050	9.12522	520.84	120.46	0.32
17550	9.40604	566.39	116.33	0.33
18050	9.75364	611.99	123.22	0.33
18550	10.0344	677.38	132.55	0.34
19050	10.3198	752.69	140.52	0.33
19550	10.6551	787.64	146.2	0.37
20050	10.9841	905.76	159.03	0.36
20550	11.2787	1255.9	187.79	0.38
21050	11.7112	1265.1	200.11	0.4
21550	11.9856	1233.9	210.81	0.4
22050	12.2334	1372.1	223.87	0.42
22550	16.2334	1402.4	233.51	0.41
23050	11.4204	1674.4	245.6	0.42
23550	11.5999	1602.5	263.19	0.42
