0.1	99.23		84.9304		5517
0.2	99.0514		115.839		6086
0.3	98.79		107.226		7464
0.4	98.6843		120.562		9151
0.5	98.4529		123.749		11497
0.6	98.3286		131.335		14527
0.7	98.2157		125.954		18994
0.8	98.0686		136.756		25815
0.9	97.9514		146.36		40685
1	97.8671		197.056		80000
1.5	98.1043		123.321		16910
2	98.2371		114.642		11650
2.5	98.2814		102.733		9634
3	98.3329		112.955		8498
3.5	98.3557		107.405		7918
4	98.3757		106.477		7629
4.5	98.3957		102.343		7500
5	98.3771		107.934		7400
5.5	98.4086		34.0896		7387
6	98.3971		28.1291		7406
6.5	98.4171		23.7856		7421
7	98.4114		23.7444		7376
7.5	98.41		30.3319		7342
8	98.3957		27.2343		7353
8.5	98.3957		22.7459		7391
9	98.3829		28.4806		7364
9.5	98.4043		22.1847		7400
10	98.4		25.1137		7423
10.5	98.3957		22.4411		7398
11	98.4043		25.1076		7401
11.5	98.42		27.8472		7391
12	98.36		23.2411		7413
12.5	98.4071		23.7853		7437
13	98.3986		23.9968		7370
13.5	98.4457		25.6513		7400
14	98.38		34.1349		7419
14.5	98.4057		28.871		7360
15	98.4043		24.7966		7389
15.5	98.3957		23.4616		7405
16	98.3757		22.3679		7405
16.5	98.3971		28.8944		7332
17	98.3971		23.0749		7370
17.5	98.41		23.1543		7431
18	98.4143		24.5304		7446
18.5	98.4429		30.8909		7432
19	98.3986		29.194		7369
19.5	98.3986		23.9954		7331
20	98.3757		26.9878		7373
20.5	98.3771		26.2901		7382
21	98.3771		23.6579		7422
21.5	98.4		23.5947		7405
22	98.4071		26.4309		7346
22.5	98.4329		35.1688		7436
23	98.3914		35.3378		7409
23.5	98.3986		29.9578		7369
24	98.3886		25.3213		7408
24.5	98.3957		25.4589		7402
25	98.42		23.9354		7416
25.5	98.3857		25.7183		7380
26	98.4014		31.6337		7371
26.5	98.4014		36.3696		7386
27	98.3986		33.8907		7396
27.5	98.3957		30.4922		7415
28	98.42		29.3013		7367
28.5	98.41		24.7471		7396
29	98.4143		24.9979		7404
29.5	98.3757		29.9347		7392
30	98.4171		23.72		7428
30.5	98.3957		30.2269		7417
31	98.4129		34.8043		7430
31.5	98.3971		27.7995		7385
32	98.4371		30.5804		7374
32.5	98.4157		25.1177		7386
33	98.4243		30.1521		7362
33.5	98.4186		26.24		7375
34	98.4043		25.1622		7416
34.5	98.4186		33.0561		7417
35	98.4043		35.143		7403
35.5	98.4143		35.7205		7374
36	98.41		25.0076		7413
36.5	98.4114		25.2551		7428
37	98.4086		25.9618		7457
37.5	98.3914		26.6122		7382
38	98.4557		26.4106		7377
38.5	98.4071		26.0879		7399
39	98.3629		37.6657		7396
39.5	98.3914		36.061		7370
40	98.4714		29.7806		7398
40.5	98.3914		26.8227		7422
41	98.41		25.0916		7417
41.5	98.41		25.6945		7417
42	98.3843		31.4306		7356
42.5	98.3971		30.6372		7419
43	98.4029		38.0006		7408
43.5	98.3957		39.3604		7405
44	98.3886		29.5961		7397
44.5	98.3986		29.2354		7399
45	98.3943		30.0415		7426
45.5	98.41		25.0889		7399
46	98.3943		33.0835		7370
46.5	98.3929		24.9873		7384
47	98.4071		38.9229		7397
47.5	98.3871		34.8366		7395
48	98.4129		34.0384		7352
48.5	98.3957		28.1543		7361
49	98.3814		24.8188		7377
49.5	98.4043		28.5795		7405
50	98.3943		24.5928		7416
					
